"No.","Time","Source","Destination","Protocol","Length","Info","Source MAC","Dest MAC","802.11 Type","802.11 Subtype","UDP Length","Frame Length","Hw src addr res","data.data"
"99","17.087475","192.168.43.20","192.168.43.1","UDP","95","22704  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:0f:41:52:54:45:4d:49:53:00:02:00:00:00:09:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
"100","17.111732","192.168.43.20","192.168.43.1","UDP","95","22704  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:0f:41:52:54:45:4d:49:53:00:02:00:00:00:09:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
"101","17.112083","192.168.43.20","180.76.76.200","TCP","74","[TCP Retransmission] 47028  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3740969 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"102","17.135391","192.168.43.20","192.168.43.1","UDP","95","22704  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:0f:41:52:54:45:4d:49:53:00:02:00:00:00:09:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
"103","17.159166","192.168.43.20","192.168.43.1","UDP","95","22704  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:0f:41:52:54:45:4d:49:53:00:02:00:00:00:09:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
"104","17.183229","192.168.43.20","192.168.43.1","UDP","95","22704  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:0f:41:52:54:45:4d:49:53:00:02:00:00:00:09:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
"105","17.185574","192.168.43.1","192.168.43.20","UDP","60","40611  >  22704 Len=18","","","","","26","60","VLinkTechnol_7e:5d:bd","f1:d1:00:0e:d1:00:00:05:00:0f:00:0f:00:0f:00:0f:00:0f"
"106","17.222613","192.168.43.1","192.168.43.20","UDP","52","40611  >  22704 Len=10","","","","","18","52","VLinkTechnol_7e:5d:bd","f1:d1:00:06:d1:00:00:01:00:0f"
"107","18.121047","192.168.43.20","180.76.76.200","TCP","74","47029  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3741271 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"108","18.246909","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e0:00:00"
"109","18.248328","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e1:00:00"
"110","18.298447","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e0:00:00"
"111","18.318582","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e1:00:00"
"112","19.125657","192.168.43.20","180.76.76.200","TCP","74","[TCP Retransmission] 47029  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3741573 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"113","19.321747","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e0:00:00"
"114","19.323425","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e1:00:00"
"115","19.373187","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e0:00:00"
"116","19.392582","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e1:00:00"
"117","19.641797","fe80::66bc:cff:fe4a:ec64","ff02::2","ICMPv6","70","Router Solicitation from 64:bc:0c:4a:ec:64","","","","","","70","LGElectronic_4a:ec:64",""
"118","20.093299","192.168.43.20","192.168.43.1","UDP","95","22704  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:10:41:52:54:45:4d:49:53:00:02:00:00:00:0a:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
"119","20.109963","192.168.43.1","192.168.43.20","UDP","52","40611  >  22704 Len=10","","","","","18","52","VLinkTechnol_7e:5d:bd","f1:d1:00:06:d1:00:00:01:00:10"
"120","20.133460","192.168.43.20","180.76.76.200","TCP","74","47030  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3741875 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"121","21.135066","192.168.43.20","180.76.76.200","TCP","74","[TCP Retransmission] 47030  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3742176 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"122","21.159827","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e0:00:00"
"123","21.164868","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e0:00:00"
"124","21.166006","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e1:00:00"
"125","21.169010","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e1:00:00"
"126","22.144092","192.168.43.20","180.76.76.200","TCP","74","47031  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3742478 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"127","22.203142","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e0:00:00"
"128","22.237136","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e0:00:00"
"129","22.238333","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e1:00:00"
"130","22.243603","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e1:00:00"
"131","23.086122","192.168.43.20","192.168.43.1","UDP","95","22704  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:11:41:52:54:45:4d:49:53:00:02:00:00:00:0b:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
"132","23.105808","192.168.43.20","192.168.43.1","UDP","95","22704  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:11:41:52:54:45:4d:49:53:00:02:00:00:00:0b:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
"133","23.125424","192.168.43.20","192.168.43.1","UDP","95","22704  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:11:41:52:54:45:4d:49:53:00:02:00:00:00:0b:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
"134","23.145095","192.168.43.20","192.168.43.1","UDP","95","22704  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:11:41:52:54:45:4d:49:53:00:02:00:00:00:0b:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
"135","23.145217","192.168.43.20","180.76.76.200","TCP","74","[TCP Retransmission] 47031  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3742779 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"136","23.164984","192.168.43.20","192.168.43.1","UDP","95","22704  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:11:41:52:54:45:4d:49:53:00:02:00:00:00:0b:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
"137","23.186652","192.168.43.20","192.168.43.1","UDP","95","22704  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:11:41:52:54:45:4d:49:53:00:02:00:00:00:0b:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
"138","23.188814","192.168.43.1","192.168.43.20","UDP","60","40611  >  22704 Len=18","","","","","26","60","VLinkTechnol_7e:5d:bd","f1:d1:00:0e:d1:00:00:05:00:11:00:11:00:11:00:11:00:11"
"139","23.225737","192.168.43.1","192.168.43.20","UDP","52","40611  >  22704 Len=10","","","","","18","52","VLinkTechnol_7e:5d:bd","f1:d1:00:06:d1:00:00:01:00:11"
